Game,PlayID,Qtr,Time,Off,Situation,Description,DrivePlays,DriveYards,DriveTime,AwayScoreAfterDrive,HomeScoreAfterDrive,HomeTeam,AwayTeam,Week,GameID,Down,Distance,Yardline_100,GoalToGo,PlayType
1,600,4,12:55,SEA,4th & 7 DC 37,"(Shotgun) B.Silvers pass short left intended for A.Proehl INTERCEPTED by B.Sylve at DC 31. B.Sylve Returned for 69 yards, TOUCHDOWN.",8,31,04:02,19,31,DC,SEA,1,2020020800,4,7,37,0,pass
1,605,4,12:43,SEA,,"(Shotgun) C.Jones rush left end to SEA 6 for -4 yards (P.Martin-Oguike) PENALTY on SEA. Offside, , enforced to SEA 1.",,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,run
1,610,4,12:43,SEA,,1pt attempt unsuccessful.,,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,extra point
1,615,4,12:43,SEA,,"H.Niswander kickoff from DC 30, 61 yds to SEA 9. J.Santiago out of bounds at SEA 37 for 61 yards (K.Abdullah)",,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,kickoff
1,620,4,12:37,SEA,1st & 10 SEA 37,J.Gardner rush right guard to SEA 42 for 5 yards (J.Thurman),,,,,,DC,SEA,1,2020020800,1,10,63,0,run
1,625,4,11:57,SEA,2nd & 5 SEA 42,(Shotgun) A.Proehl rush left end out of bounds at SEA 45 for 3 yards (K.Freeman),,,,,,DC,SEA,1,2020020800,2,5,58,0,run
1,630,4,11:19,SEA,3rd & 2 SEA 45,B.Silvers pass short left to D.Byrd out of bounds at SEA 49 for 4 yards (D.Lawrence),,,,,,DC,SEA,1,2020020800,3,2,55,0,pass
1,635,4,10:51,SEA,1st & 10 SEA 49,(Shotgun) B.Silvers pass short middle to E.Rodriguez to DC 29 for 22 yards (J.Celestin),,,,,,DC,SEA,1,2020020800,1,10,51,0,pass
1,640,4,10:21,SEA,1st & 10 DC 29,(Shotgun) J.Gardner rush left guard to DC 24 for 5 yards (J.Bromley; E.Qualls),,,,,,DC,SEA,1,2020020800,1,10,29,0,run
1,645,4,09:45,SEA,2nd & 5 DC 24,B.Silvers pass incomplete deep left to D.Byrd.,,,,,,DC,SEA,1,2020020800,2,5,24,0,pass
